字頭,撫州話,推導撫州話,文白新,訓作,釋義,中古拼音,音韻地位,聲母,清濁,音,組,攝,韻系,等,呼,聲調,反切,廣韻釋義,推導普通話,推導廣州話
丟,tju1,,,,,,,,,,,,,,,,,,,
了,tjɛ0,,,咧,,,,,,,,,,,,,,,,
倘,tʰoŋ3,,,,,,,,,,,,,,,,,,,
卅,sat7,,,,,,,,,,,,,,,,,,,
喂,wi5,,,,,,,,,,,,,,,,,,,
嗅,ɕjuŋ5,,白,,,,,,,,,,,,,,,,,
嗓,soŋ3,,,,,,,,,,,,,,,,,,,
塌,tʰat7,,,,,,,,,,,,,,,,,,,
嬸,ɕin3,,,,,,,,,,,,,,,,,,,
差,tsʰai1,,,,,,,,,,,,,,,,,,,
彗,fi6,,,,,,,,,,,,,,,,,,,
慪,ŋɛu5,,,,,,,,,,,,,,,,,,,
捆,kʰun3,,,,,,,,,,,,,,,,,,,
棚,pʰaŋ2,,白,,,,,,,,,,,,,,,,,
棚,pʰuŋ2,,文,,,,,,,,,,,,,,,,,
冇,mau6,,,,沒有,,,,,,,,,,,,,,,
沒,mau6,,,冇,,,,,,,,,,,,,,,,
治,tʰi6,,,,,,,,,,,,,,,,,,,
涂,tʰu2,,,,,,,,,,,,,,,,,,,
滾,kun3,,,,,,,,,,,,,,,,,,,
濾,ti5,,,,,,,,,,,,,,,,,,,
漱,su5,,,,,,,,,,,,,,,,,,,
燉,tun1,,,,,,,,,,,,,,,,,,,
煉,tɥon6,,,,,,,,,,,,,,,,,,,
焉,jɛn1,,,,,,,,,,,,,,,,,,,
玩,woi3,,,猥,,,,,,,,,,,,,,,,
瓤,loŋ2,,,,,,,,,,,,,,,,,,,
的,ko0,,,嗰,,,,,,,,,,,,,,,,
嗰,ko0,,,,的,,,,,,,,,,,,,,,
瞪,tsʰɛn1,,白,,,,,,,,,,,,,,,,,
磕,kʰot7,,,,,,,,,,,,,,,,,,,
竭,tɕʰjɛt8,,,,,,,,,,,,,,,,,,,
編,pjɛn1,,,,,,,,,,,,,,,,,,,
縊,i5,,,,,,,,,,,,,,,,,,,
骯,ŋoŋ1,,,,,,,,,,,,,,,,,,,
蝸,wo1,,,,,,,,,,,,,,,,,,,
褶,tɛt7,,,,,,,,,,,,,,,,,,,
詑,tʰoʔ7,,,,,,,,,,,,,,,,,,,
認,nin6,,白,,,,,,,,,,,,,,,,,
謊,foŋ3,,,,,,,,,,,,,,,,,,,
鞋,hai2,,,,,,,,,,,,,,,,,,,
鯽,tsɛʔ7,,,,,,,,,,,,,,,,,,,
註,tu5,,,,,,,,,,,,,,,,,,,
闆,pan3,,,,,,,,,,,,,,,,,,,
醃,jɛn1,,,,,,,,,,,,,,,,,,,
衹,ti3,,,,,,,,,,,,,,,,,,,
颱,tʰai2,,,,,,,,,,,,,,,,,,,
捱,ŋai1,,,,,,,,,,,,,,,,,,,
打,ta3,,,,,,,,,,,,,,,,,,,
們,mun2,,,,,,,,,,,,,,,,,,,
咧,tjɛ0,,,,了,,,,,,,,,,,,,,,
